,coef
1950-1954,-0.09041047086822218
1955-1959,0.1575687972875831
1960-1964,-0.034600334051275494
1965-1969,0.08065835157007595
1970-1974,-0.047002184715014605
1975-1979,-0.03191857228754735
1980-1984,0.14557787623396024
1985-1989,0.11460437633593734
1990-1994,0.20163671585226128
1995-1999,0.10799386943801015
2000-2004,0.18294536482764956
2005-2009,0.17354153059503696
2010-2014,0.2708137659865604
2015-2019,0.3900722638041022
