date,donatello purple,raphael red,titian color,isPartial
2004-01-01,0,0,0,False
2004-02-01,0,0,0,False
2004-03-01,0,0,0,False
2004-04-01,0,0,0,False
2004-05-01,0,0,0,False
2004-06-01,0,0,0,False
2004-07-01,0,0,0,False
2004-08-01,0,0,0,False
2004-09-01,0,0,0,False
2004-10-01,0,0,0,False
2004-11-01,0,0,0,False
2004-12-01,0,0,0,False
2005-01-01,0,0,0,False
2005-02-01,0,44,0,False
2005-03-01,0,0,0,False
2005-04-01,0,0,0,False
2005-05-01,0,39,0,False
2005-06-01,0,0,0,False
2005-07-01,0,0,0,False
2005-08-01,0,0,0,False
2005-09-01,0,0,0,False
2005-10-01,0,0,0,False
2005-11-01,0,0,0,False
2005-12-01,0,0,0,False
2006-01-01,0,0,0,False
2006-02-01,0,0,0,False
2006-03-01,0,27,0,False
2006-04-01,0,0,0,False
2006-05-01,0,0,0,False
2006-06-01,0,0,0,False
2006-07-01,0,0,0,False
2006-08-01,0,0,0,False
2006-09-01,0,25,0,False
2006-10-01,0,0,0,False
2006-11-01,0,0,0,False
2006-12-01,0,0,0,False
2007-01-01,0,18,0,False
2007-02-01,0,19,0,False
2007-03-01,0,0,0,False
2007-04-01,0,17,0,False
2007-05-01,0,0,0,False
2007-06-01,0,0,0,False
2007-07-01,0,0,0,False
2007-08-01,0,13,0,False
2007-09-01,0,0,0,False
2007-10-01,0,0,0,False
2007-11-01,0,0,0,False
2007-12-01,0,13,0,False
2008-01-01,0,10,0,False
2008-02-01,0,0,0,False
2008-03-01,0,0,0,False
2008-04-01,0,9,0,False
2008-05-01,0,0,0,False
2008-06-01,0,11,0,False
2008-07-01,0,14,0,False
2008-08-01,0,22,0,False
2008-09-01,0,12,12,False
2008-10-01,0,13,0,False
2008-11-01,0,13,10,False
2008-12-01,0,19,0,False
2009-01-01,0,14,0,False
2009-02-01,0,14,0,False
2009-03-01,0,19,0,False
2009-04-01,0,16,0,False
2009-05-01,0,12,0,False
2009-06-01,0,9,0,False
2009-07-01,0,14,0,False
2009-08-01,0,0,0,False
2009-09-01,0,10,0,False
2009-10-01,0,14,0,False
2009-11-01,0,10,0,False
2009-12-01,0,14,0,False
2010-01-01,0,10,0,False
2010-02-01,0,9,0,False
2010-03-01,0,10,0,False
2010-04-01,0,8,0,False
2010-05-01,0,9,0,False
2010-06-01,0,8,0,False
2010-07-01,0,16,0,False
2010-08-01,0,9,0,False
2010-09-01,0,10,0,False
2010-10-01,6,15,0,False
2010-11-01,0,14,0,False
2010-12-01,0,7,8,False
2011-01-01,0,11,0,False
2011-02-01,0,9,0,False
2011-03-01,0,15,0,False
2011-04-01,0,13,0,False
2011-05-01,0,14,0,False
2011-06-01,0,18,0,False
2011-07-01,0,12,0,False
2011-08-01,0,14,0,False
2011-09-01,5,14,0,False
2011-10-01,4,19,4,False
2011-11-01,0,13,4,False
2011-12-01,0,14,5,False
2012-01-01,0,12,0,False
2012-02-01,4,13,0,False
2012-03-01,0,11,4,False
2012-04-01,0,9,5,False
2012-05-01,0,13,4,False
2012-06-01,0,15,4,False
2012-07-01,0,10,7,False
2012-08-01,0,15,4,False
2012-09-01,0,19,0,False
2012-10-01,0,14,4,False
2012-11-01,0,13,3,False
2012-12-01,3,17,5,False
2013-01-01,0,10,5,False
2013-02-01,0,13,4,False
2013-03-01,4,13,3,False
2013-04-01,0,14,6,False
2013-05-01,0,14,4,False
2013-06-01,3,10,5,False
2013-07-01,3,11,3,False
2013-08-01,0,12,4,False
2013-09-01,2,11,5,False
2013-10-01,3,13,3,False
2013-11-01,0,12,3,False
2013-12-01,0,10,3,False
2014-01-01,0,12,3,False
2014-02-01,2,14,3,False
2014-03-01,2,14,3,False
2014-04-01,2,11,5,False
2014-05-01,0,14,5,False
2014-06-01,0,10,5,False
2014-07-01,3,12,5,False
2014-08-01,6,17,4,False
2014-09-01,4,15,3,False
2014-10-01,5,17,3,False
2014-11-01,4,13,4,False
2014-12-01,4,14,5,False
2015-01-01,0,15,6,False
2015-02-01,3,12,5,False
2015-03-01,4,13,3,False
2015-04-01,0,15,4,False
2015-05-01,2,21,4,False
2015-06-01,0,13,4,False
2015-07-01,3,12,4,False
