,Leonardo da Vinci,Michelangelo,Raphael,Donatello,Luca della Robbia,Masaccio,Titian,Donatello (TMNT),Michelangelo (TMNT)
2023-09-16,8340,4107,2076,809,38,111,728,1042,1036
2023-09-17,8952,4524,1992,849,32,129,764,1031,993
2023-09-18,9778,4849,2251,906,29,176,856,852,864
2023-09-19,9812,4966,2228,997,39,190,892,948,805
2023-09-20,9610,5181,2508,1118,50,236,806,1024,1025
2023-09-21,9920,4975,2199,988,45,197,960,967,902
2023-09-22,8977,4562,2160,945,18,171,766,960,940
2023-09-23,8014,4339,1740,806,37,114,833,1176,1118
2023-09-24,8819,4981,1925,963,72,140,741,1164,1094
2023-09-25,9186,4940,2169,1052,29,196,843,929,925
2023-09-26,9381,5793,2325,993,37,199,1215,934,852
2023-09-27,9046,5227,2077,960,48,181,946,875,790
2023-09-28,9542,5117,2137,938,35,179,772,840,801
2023-09-29,8761,4518,1948,918,29,153,768,871,828
2023-09-30,7449,4137,1667,833,36,111,705,923,838
2023-10-01,8079,4552,1776,855,47,144,763,843,832
2023-10-02,9711,5104,2170,1049,50,210,867,772,745
2023-10-03,10689,4862,2115,914,38,173,842,776,750
2023-10-04,10440,4948,1986,1025,35,185,865,710,726
2023-10-05,9443,4983,2097,975,43,185,880,715,741
2023-10-06,8581,4544,1990,971,50,157,725,744,691
2023-10-07,7453,4067,1648,732,31,132,731,812,748
2023-10-08,8215,4292,1846,839,36,211,730,802,781
2023-10-09,9015,4704,2246,894,44,177,853,753,786
2023-10-10,9430,4886,2110,877,26,189,822,638,657
2023-10-11,10595,5128,2045,949,37,205,803,647,693
2023-10-12,9804,4751,1984,927,32,219,816,702,814
2023-10-13,8451,4288,1898,842,32,196,754,698,646
2023-10-14,7795,3960,1661,598,36,147,709,724,811
2023-10-15,8500,4186,1829,787,39,179,864,740,736
2023-10-16,9594,5117,1883,927,23,252,861,600,594
2023-10-17,11516,5093,2192,1014,38,208,881,626,611
2023-10-18,11424,4976,2133,1020,53,199,849,676,681
2023-10-19,11316,18712,3185,997,39,211,928,683,664
2023-10-20,8565,5391,2088,933,32,178,870,664,650
2023-10-21,7924,4849,1911,699,38,135,834,814,702
2023-10-22,8189,4405,1974,774,48,185,875,754,734
2023-10-23,9597,4969,2594,969,43,219,881,668,730
2023-10-24,9334,4775,2206,931,28,206,838,674,656
2023-10-25,9366,4714,2101,914,37,191,785,672,650
2023-10-26,9078,4626,2172,973,28,183,822,692,714
2023-10-27,8661,4429,2124,833,43,190,812,778,794
2023-10-28,7484,3785,1687,700,28,149,752,816,831
2023-10-29,8075,3883,1821,745,39,179,802,762,739
2023-10-30,8609,4330,1919,953,45,208,793,667,702
2023-10-31,8450,4981,1865,965,38,204,758,997,978
