,Donatello,Leonardo da Vinci,Michelangelo,Raphael,the painter Raphael,the sculptor Donatello,Michelangelo Buonarroti,Titian,Caravaggio,Botticelli,Verrocchio,Ghirlandaio,Fra Angelico,Masaccio,Giovanni Bellini,Michaelangelo,the divine Michelangelo,Renaissance art,Leonardo and Michelangelo,Michelangelo and Raphael,Raphael and Donatello,Lorenzo Ghiberti,Luca della Robbia,Andrea del Sarto,Mantegna,Tintoretto,Perugino,Teenage Mutant Ninja Turtles,Ninja Turtles,TMNT
1935,1.0122040094984189e-07,2.9478238161573245e-07,4.892135052614321e-07,1.6592639440204948e-06,3.949741644859728e-10,3.949741644859728e-10,1.3569603218854809e-08,3.739745864095312e-07,5.099653677120841e-08,1.5221692706290926e-07,4.0841381832024126e-08,2.7153999937468143e-08,8.610093260585928e-08,4.779545648148088e-08,6.172368216539327e-08,1.777151936721566e-08,0.0,3.314345420335485e-08,2.8964772802453354e-09,6.7145609072838405e-09,0.0,5.4038240548948124e-09,1.9353734614924182e-08,5.2136591932594456e-08,8.466307832577513e-08,8.653957905835341e-08,6.689155895855947e-08,0.0,1.2008498362359177e-10,1.1038211317204727e-10
1936,8.122387384901233e-08,2.643535310653533e-07,4.54153024520565e-07,1.4647034731751774e-06,3.2879793332440954e-10,1.0959930879517188e-10,1.2217893363697384e-08,3.5550428378883225e-07,4.9600959783902e-08,1.1413752076805397e-07,3.5587305546869175e-08,1.6502921695860095e-08,6.008799857681879e-08,3.180730701046741e-08,4.176116163989718e-08,1.346048339456729e-08,6.575958666488191e-10,2.193212012002732e-08,1.75358894072275e-09,4.164773859116622e-09,1.0959930879517188e-10,4.005866749423603e-09,1.1179129622007622e-08,4.603170822292668e-08,7.762826470525398e-08,1.0067704181437877e-07,5.3288761847625217e-08,0.0,0.0,9.219509183866492e-11
1937,1.6213591891300896e-07,3.39856029540897e-07,4.784288307746465e-07,1.770299149939092e-06,2.447648750347753e-10,2.447648750347753e-10,1.4264337266922666e-08,4.985807322555047e-07,6.649106865097566e-08,1.94256216445865e-07,5.452267615169149e-08,3.7746467285160186e-08,8.324578004703653e-08,5.7080026039102456e-08,3.621804367526239e-08,2.107255347993941e-08,2.447648750347753e-10,2.6634191740981805e-08,3.549090799026544e-09,5.751974452294917e-09,0.0,1.1366894092645909e-08,2.7658430212795796e-08,5.6418304694716426e-08,9.380354981658456e-08,1.4904229317380668e-07,7.661817136295214e-08,0.0,0.0,0.0
1938,8.520098759845497e-08,3.593709720917105e-07,3.546120410646836e-07,1.668425625211967e-06,1.2223502765529304e-10,2.444700553105861e-10,6.459573320682921e-09,3.847852667604457e-07,5.9425900644782814e-08,1.690723081537726e-07,3.63101442246716e-08,2.5775088730028983e-08,7.038707394713128e-08,3.9583174071822214e-08,4.0205275553262254e-08,1.6876546382604832e-08,7.33410165931758e-10,2.6061037772251442e-08,2.689170663927598e-09,5.0116359950891365e-09,0.0,5.234481736948737e-09,1.6990668427752098e-08,3.887073773967131e-08,7.875721763639376e-08,1.0903271885354117e-07,5.6971128259419856e-08,1.3544629307027378e-10,1.1137195332633354e-10,1.0228209945672972e-10
1939,9.325625427436537e-08,4.231688706113346e-07,4.021059680781036e-07,1.5130974588828394e-06,2.35486297128773e-10,1.177431485643865e-10,6.975313660007032e-09,3.987542811501044e-07,5.106420530864853e-08,1.7951334996268997e-07,4.613522719409957e-08,2.7306533922910603e-08,7.608457508467836e-08,3.824886363190672e-08,3.552044347543416e-08,1.5378409656818803e-08,0.0,2.457456638182976e-08,3.179065011238435e-09,5.887157428219325e-09,0.0,3.21937565495034e-09,1.3658205233468834e-08,3.803103609811842e-08,8.4581252224325e-08,1.347582383459667e-07,4.781108131624024e-08,0.0,0.0,1.971590946059365e-10
1940,1.1136577882098209e-07,3.417792129312147e-07,5.652870527228515e-07,1.5756344282635837e-06,2.4094409800667904e-10,4.818881960133581e-10,1.294433094045644e-08,3.137574822176248e-07,4.4304648838533474e-08,1.2747655375733302e-07,3.6853414542292746e-08,2.2253017206708137e-08,5.550704784695881e-08,3.473887133509379e-08,3.1922038346010595e-08,2.3259941528408493e-08,0.0,2.3585011277305057e-08,2.409441091089093e-09,4.096049721624695e-09,0.0,5.155793125766195e-09,1.662514215183819e-08,3.915341650895243e-08,6.947774267018758e-08,1.1781008879552247e-07,5.28635020202728e-08,0.0,0.0,3.020771410788825e-10
1941,1.2993791642657018e-07,3.597085651563248e-07,3.910300279130752e-07,1.6603065660092398e-06,3.6358682731219005e-10,1.2119560910406335e-10,1.4571647888317333e-08,2.941340540019155e-07,4.327885605448501e-08,1.3318130243078485e-07,6.223235970992391e-08,1.864943577345457e-08,7.7273888621221e-08,3.9224630654644e-08,3.5104424256360296e-08,1.70277463240609e-08,2.423912182081267e-10,2.8260165763072116e-08,2.302716683999506e-09,3.514672552995534e-09,0.0,4.857215962772443e-09,1.9270101958568372e-08,3.7813030928646185e-08,6.223235970992391e-08,8.351704394726768e-08,5.402255354169939e-08,0.0,1.1039127251200043e-10,0.0
1942,8.562459896666041e-08,3.5204689652346133e-07,4.991155151401472e-07,1.5409175375680206e-06,0.0,1.2942900917689568e-10,1.3685245825456605e-08,2.907984821831633e-07,2.9372488441481444e-08,1.175983399548386e-07,5.2241841075328934e-08,1.4523665825549873e-08,4.6836571954145256e-08,2.6554463516959004e-08,2.0763820884894812e-08,1.896747292562395e-08,1.2942900917689568e-10,3.0319895927277685e-08,1.6825770776662807e-09,3.6240122014419285e-09,0.0,5.072978925824145e-09,1.1778039876730872e-08,3.3004397437252926e-08,5.6577263762847e-08,9.082710050734023e-08,4.2812299483330214e-08,0.0,0.0,1.0838556441239433e-10
1943,8.468119716553701e-08,2.9670610501852934e-07,5.016527779844182e-07,1.339043024017883e-06,2.735879300885813e-10,1.3679396504429064e-10,8.118153260738836e-09,2.750702776666003e-07,4.389174534935592e-08,1.0777606718193057e-07,3.481465782328996e-08,2.4473671089708663e-08,5.3579810810333584e-08,3.1022963753457595e-08,2.5103828349415384e-08,1.2524084880283226e-08,0.0,3.871734577387542e-08,2.599085391352673e-09,4.924582519549858e-09,0.0,4.246418772169136e-09,1.0396341565410694e-08,2.6127647601015272e-08,5.859892837634106e-08,7.158261183803917e-08,3.492955613637605e-08,0.0,0.0,3.446995744393888e-10
1944,1.2392436588015698e-07,3.2646607905917335e-07,3.965579651321605e-07,1.5697086155341822e-06,5.623877474825179e-10,0.0,9.624367081073616e-09,3.636294820807962e-07,2.926975462003157e-08,1.1082378392757165e-07,5.747730114080696e-08,1.4634877310015781e-08,5.0175032129118335e-08,6.467671198606696e-08,4.9661732504091573e-08,2.065405979578827e-08,4.2179082448967615e-10,2.8231475823758962e-08,2.952535771427733e-09,5.202086761357805e-09,0.0,5.132995806178542e-09,1.8839989124330717e-08,3.4727442255189096e-08,7.695112458350195e-08,1.6051156137564249e-07,3.9183703393064206e-08,4.663932018367234e-10,3.8497466325893015e-10,0.0
